appendix;page;row_num;plot_num_plan;cadastral_number;address;area_cadastral_m2;storeys;land_category;land_use_type;notes
2;41;93;95;90:11:130701:1204;Республика Крым, Сакский р-н, Лесновский с/с, уч 128;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;94;97;90:11:130701:1242;Республика Крым, Сакский р-н, Лесновский с/с, уч 162;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;41;95;98;90:11:130701:1249;Республика Крым, Сакский р-н, Лесновский с/с, уч 48;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;96;99;90:11:130701:1253;Республика Крым, Сакский р-н, Лесновский с/с, уч 53;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;97;100;90:11:130701:1254;Республика Крым, Сакский р-н, Лесновский с/с, уч 131;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;98;101;90:11:130701:1255;Республика Крым, Сакский р-н, Лесновский с/с, уч 51;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;99;102;90:11:130701:1263;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 35;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;100;103;90:11:130701:1264;Республика Крым, Сакский р-н, Лесновский с/с, уч 55;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;101;104;90:11:130701:1267;Республика Крым, Сакский р-н, Лесновский с/с, уч 54;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;102;105;90:11:130701:1268;Республика Крым, Сакский р-н, Лесновский с/с, уч 130;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;103;106;90:11:130701:1269;Республика Крым, Сакский р-н, Лесновское сельское поселение, Прибрежное село, Дачная улица, уч 37;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;42;104;107;90:11:130701:1270;Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, Прибрежное село, Дачная улица, земельный участок 39;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение садоводства;Существующий земельный участок частично расположен в границах зоны размещения объекта.
